prices,address,no_beds,baths,sqft
8888888, 1979 Stradella Rd Los Angeles CA 90077 ,5,7,6112
2700000, 14827 Huston St Sherman Oaks CA 91403 ,5,6,4388
799999, 12618 Hubbard St Sylmar CA 91342 ,5,3,2505
1499000, 3459 Ardsley Pl Encino CA 91436 ,3,3,2119
750000, 22843 Wyandotte St West Hills CA 91307 ,3,2,1299
575000, 17805 Margate St Encino CA 91316 ,2,3,1439
799000, 4920 Los Robles St Los Angeles CA 90041 ,2,1,1186
11800000, 3911 Oeste Ave Studio City CA 91604 ,8,13,9989
399000, 3622 Griffith Ave Los Angeles CA 90011 ,4,2,1176
2795000, 5173 Gaynor Ave Encino CA 91436 ,6,8,4922
550000, 5021 Varna Ave Sherman Oaks CA 91423 ,2,2,2023
1539900, 3675 Stewart Ave Los Angeles CA 90066 ,2,2,1099
599000, 217 S Meyler St San Pedro CA 90731 ,3,3,1628
8995000, 1651 Haslam Ter Los Angeles CA 90069 ,7,7,7316
7995000, 2135 1/2 Hercules Dr Los Angeles CA 90046 ,4,4,4874
16900000, 1580 Sorrento Dr Pacific Palisades CA 90272 ,6,9,1040
899000, 970 Farnam St Los Angeles CA 90042 ,3,2,1063
12495000, 3307 Clerendon Rd Beverly Hills CA 90210 ,7,8,1097
723000, 1428 W 79th St Los Angeles CA 90047 ,3,3,1600
685000, 9935 Collett Ave North Hills CA 91343 ,3,2,1234
899950, 12860 Meadowlark Ave Granada Hills CA 91344 ,3,2,2048
739000, 1349 W 26th Pl San Pedro CA 90732 ,2,2,1101
765000, 1272 1/2 Hayworth Ave Los Angeles CA 90046 ,2,2,1166
399000, 312 W 5th St APT 608 Los Angeles CA 90013 ,1,1,610
698000, 20243 Lassen St Chatsworth CA 91311 ,3,2,1303
599000, 9020 Sandusky Ave Arleta CA 91331 ,4,2,1614
1699999, 7427 Stewart Ave Los Angeles CA 90045 ,3,2,2027
699900, 10501 Wilshire Blvd UNIT 1709 Los Angeles CA 90024 ,1,2,883
9950000, 1860 N Doheny Dr Los Angeles CA 90069 ,5,8,8200
975000, 5280 Darro Rd Woodland Hills CA 91364 ,3,2,2435
2950000, 4150 Laurelgrove Ave Studio City CA 91604 ,5,5,3657
1695000, 12653 Albers St Valley Village CA 91607 ,5,3,2723
785000, 1312 S Saltair Ave APT 323 Los Angeles CA 90025 ,2,2,1181
1250000, 1723 S Crescent Heights Blvd Los Angeles CA 90035 ,2,2,1278
570000, 773 W 8th St Los Angeles CA 90731 ,3,1,1154
1899000, 4751 Viviana Dr Tarzana CA 91356 ,4,4,3103
45000000, 10350 Wyton Dr Los Angeles CA 90024 ,7,12,19900
1299000, 12762 Byron Ave Granada Hills CA 91344 ,5,3,2761
1249000, 7816 Hindry Ave Los Angeles CA 90045 ,4,3,1601
