"size","gender","age","edu","wealth"
8,"2",0,"0","1"
8,"1",75,"2","1"
6,"2",12,"1","1"
7,"2",6,"1","2"
7,"2",87,"0","2"
6,"2",68,"0","2"
8,"2",6,"1","3"
8,"1",86,"0","3"
8,"2",85,"0","3"
6,"1",75,"0","2"
9,"1",0,"0","1"
9,"2",16,"2","1"
9,"1",80,"0","1"
9,"1",65,"1","1"
6,"1",0,"0","1"
6,"2",11,"1","2"
6,"2",0,"0","2"
7,"1",22,"2","1"
7,"2",74,"0","1"
6,"1",7,"1","1"
6,"1",13,"2","1"
6,"1",13,"2","1"
6,"2",12,"1","1"
6,"2",8,"1","1"
6,"2",1,"0","2"
9,"1",6,"1","1"
9,"1",56,"0","1"
9,"2",58,"0","1"
9,"2",51,"0","1"
6,"1",10,"1","1"
9,"1",8,"1","1"
9,"2",6,"1","1"
9,"1",3,"0","1"
9,"2",1,"0","1"
8,"2",25,"2","1"
8,"2",2,"0","1"
8,"2",83,"0","1"
7,"1",2,"0","1"
7,"1",72,"0","1"
7,"1",12,"2","1"
7,"2",6,"1","1"
6,"1",3,"0","1"
8,"2",7,"1","2"
8,"2",28,"1","2"
8,"1",8,"1","2"
7,"2",0,"0","2"
7,"1",16,"2","2"
6,"1",14,"2","2"
6,"2",72,"0","3"
6,"2",14,"2","2"
6,"1",13,"2","2"
9,"1",23,"2","2"
9,"2",19,"2","2"
9,"1",37,"2","2"
9,"1",11,"1","2"
6,"1",32,"0","1"
11,"1",8,"1","5"
11,"1",31,"3","5"
11,"2",25,"3","5"
11,"1",3,"0","5"
11,"1",1,"0","5"
11,"1",18,"2","5"
6,"2",3,"0","2"
6,"1",0,"0","3"
6,"1",65,"1","3"
7,"2",1,"0","2"
7,"1",3,"0","2"
8,"2",20,"1","3"
8,"1",0,"0","3"
8,"1",11,"1","3"
7,"1",18,"0","5"
7,"2",71,"0","5"
6,"1",4,"0","4"
7,"1",2,"0","2"
7,"2",22,"3","2"
6,"1",7,"1","2"
8,"1",5,"1","2"
8,"1",1,"0","2"
8,"2",64,"0","2"
7,"2",7,"0","3"
